scope,feature,cohort,auc_clinic4,auc_ci_lower_clinic4,auc_ci_upper_clinic4,auc_clinic4_aec_best,auc_ci_lower_clinic4_aec_best,auc_ci_upper_clinic4_aec_best,delta_auc_aec_best_minus_clinic4,delong_z,delong_p_value
male,Total Fat_SUM,internal,0.7683,0.6776,0.8492,0.8352,0.7661,0.8973,0.0669,2.5261,0.0115
male,Total Fat_SUM,external,0.8747,0.8219,0.9208,0.8509,0.7771,0.9145,-0.0237,-0.5721,0.5673
male,VAT_TotalFat_ratio,internal,0.6241,0.5561,0.6942,0.8048,0.7423,0.8626,0.1807,4.822,0.0
male,VAT_TotalFat_ratio,external,0.6894,0.6263,0.7512,0.7042,0.6409,0.7666,0.0148,0.3787,0.7049
male,VAT_SAT_ratio,internal,0.6241,0.5561,0.6942,0.8048,0.7423,0.8626,0.1807,4.822,0.0
male,VAT_SAT_ratio,external,0.6957,0.6288,0.7597,0.7007,0.6335,0.7684,0.005,0.122,0.9029
male,VAT_TAMA_ratio,internal,0.7172,0.6325,0.7923,0.8398,0.7744,0.896,0.1226,4.1904,0.0
male,VAT_TAMA_ratio,external,0.7831,0.7245,0.8381,0.7999,0.7403,0.8582,0.0168,0.4458,0.6557
male,TotalFat_TAMA_ratio,internal,0.7748,0.6425,0.888,0.7686,0.6104,0.9015,-0.0062,-0.1249,0.9006
male,TotalFat_TAMA_ratio,external,0.7442,0.6244,0.8539,0.7335,0.6229,0.8308,-0.0106,-0.1806,0.8567
male,SAT_TotalFat_ratio,internal,0.726,0.6535,0.7945,0.7815,0.7198,0.8384,0.0556,2.1541,0.0312
male,SAT_TotalFat_ratio,external,0.7291,0.6604,0.7917,0.7638,0.7016,0.8219,0.0347,1.3472,0.1779
male,SAT_TAMA_ratio,internal,0.4074,0.157,0.6505,0.5563,0.2601,0.8446,0.1489,2.1145,0.0345
male,SAT_TAMA_ratio,external,0.6959,0.5385,0.8478,0.4981,0.3216,0.6667,-0.1977,-1.5801,0.1141
female,SAT(피하지방)_SUM,internal,0.8758,0.8414,0.9091,0.8948,0.8646,0.9216,0.019,1.8414,0.0656
female,SAT(피하지방)_SUM,external,0.874,0.8281,0.9114,0.8761,0.8282,0.9167,0.002,0.1821,0.8555
female,VAT(내장지방)_SUM,internal,0.8785,0.8489,0.9062,0.9101,0.8846,0.9335,0.0316,3.0835,0.002
female,VAT(내장지방)_SUM,external,0.8033,0.758,0.8463,0.8519,0.8138,0.8871,0.0486,3.118,0.0018
female,Total Fat_SUM,internal,0.8812,0.8487,0.9105,0.9036,0.8768,0.9293,0.0223,2.1859,0.0288
female,Total Fat_SUM,external,0.8567,0.8126,0.8965,0.8622,0.8181,0.9021,0.0054,0.4488,0.6536
female,VAT_TotalFat_ratio,internal,0.8173,0.7767,0.8538,0.8504,0.8148,0.8843,0.0331,2.5922,0.0095
female,VAT_TotalFat_ratio,external,0.7257,0.6749,0.7716,0.8191,0.7768,0.8586,0.0934,5.4428,0.0
female,VAT_SAT_ratio,internal,0.8291,0.7894,0.8665,0.8691,0.8327,0.9031,0.04,3.1925,0.0014
female,VAT_SAT_ratio,external,0.7287,0.6751,0.7768,0.8182,0.7727,0.8586,0.0895,4.8093,0.0
female,VAT_TAMA_ratio,internal,0.8723,0.8431,0.8981,0.9038,0.8778,0.9258,0.0315,3.0877,0.002
female,VAT_TAMA_ratio,external,0.8038,0.7573,0.8473,0.861,0.8221,0.8966,0.0572,3.3316,0.0009
female,TotalFat_TAMA_ratio,internal,0.8001,0.7562,0.8424,0.8329,0.7931,0.8701,0.0328,2.3266,0.02
female,TotalFat_TAMA_ratio,external,0.7756,0.7271,0.8202,0.8277,0.7863,0.8665,0.0521,3.0075,0.0026
female,SAT_TotalFat_ratio,internal,0.799,0.7526,0.841,0.8246,0.7831,0.8623,0.0256,1.9151,0.0555
female,SAT_TotalFat_ratio,external,0.7915,0.7326,0.843,0.809,0.7527,0.86,0.0175,0.9032,0.3664
female,SAT_TAMA_ratio,internal,0.7673,0.7204,0.814,0.8039,0.7614,0.8426,0.0366,2.1754,0.0296
female,SAT_TAMA_ratio,external,0.7487,0.6931,0.8004,0.7893,0.7398,0.8354,0.0406,2.3115,0.0208
